Close_nvidia,Volume_nvidia,Close_bitcoin,Volume_bitcoin
214.25,16574720,6636.319824,3766810112.0
215.41,12488120,6770.72998,4894060032.0
227.91,19118807,6834.759766,4272750080.0
226.24,11506057,6968.319824,4641889792.0
234.6,14847950,7889.25,8906250240.0
231.5,12575892,7895.959961,7764460032.0
231.49,8769776,8058.669922,5631309824.0
237.54,11180638,7902.089844,6900879872.0
236.37,9784058,8163.419922,6529909760.0
229.04,11799933,8294.30957,7063209984.0
228.71,9654966,8845.830078,8438110208.0
223.88,10687723,8930.879883,6925190144.0
221.2,10364894,9697.5,10678800384.0
216.66,14712343,8845.740234,11083100160.0
225.22,9395574,9281.509766,8970559488.0
226.33,10021245,8987.049805,7566289920.0
224.9,8196067,9240.549805,8673920000.0
227.14,6344727,9119.009766,7713019904.0
226.31,6706185,9235.919922,7558159872.0
232.99,11078640,9743.860352,10207299584.0
239.06,10016538,9700.759766,8217829888.0
248.68,17190378,9373.009766,7394019840.0
250.4,12665374,9234.820313,7415869952.0
255.78,14918980,9325.179688,7226890240.0
260.13,24852029,9043.94043,6906699776.0
254.53,30361406,8441.490234,8488520192.0
255.36,13078477,8716.790039,7364149760.0
245.56,24088210,8510.379883,6705710080.0
246.01,13845706,8368.830078,6760220160.0
247.71,12994605,8094.319824,5862530048.0
245.94,12092942,8250.969727,5764190208.0
244.24,16015620,8418.990234,5154990080.0
242.7,12956637,8041.779785,5137010176.0
247.54,11073926,7557.819824,6491120128.0
247.69,10934295,7587.339844,6049220096.0
249.28,7302782,7480.140137,4867829760.0
248.59,8817083,7472.589844,5662660096.0
252.99,9774864,7406.52002,4922540032.0
252.19,12346709,7494.169922,5127130112.0
257.62,10549248,7541.450195,4921460224.0
264.85,16050641,7514.470215,4993169920.0
265.07,9792801,7633.759766,4961739776.0
265.15,9283856,7653.97998,4692259840.0
262.9,9236216,7678.240234,4485799936.0
262.28,9011443,7624.919922,4227579904.0
260.62,6634253,6906.919922,4745269760.0
262.58,7978985,6582.359863,4654380032.0
262.4,8455159,6349.899902,5052349952.0
266.91,10750411,6675.350098,5138710016.0
265.26,10806488,6456.580078,3955389952.0
265.09,8906674,6734.819824,4039200000.0
260.17,14873324,6769.939941,4057029888.0
262.31,9244494,6776.549805,3888640000.0
257.11,8987906,6729.740234,3529129984.0
250.95,10853954,6083.689941,5079810048.0
239.12,16645431,6249.180176,5500810240.0
241.99,11972137,6093.669922,3279759872.0
235.72,11347303,6157.129883,3296219904.0
240.86,8450297,5903.439941,3467800064.0
236.9,9807477,6218.299805,3966230016.0
242.24,8939348,6614.180176,4396930048.0
236.84,5568325,6529.589844,4672309760.0
242.73,7655448,6639.140137,4999240192.0
247.33,7408822,6673.5,4313959936.0
249.25,7597022,6741.75,3718129920.0
253.25,9000390,6329.950195,4052430080.0
247.53,9187660,6394.709961,3644859904.0
251.23,8637673,6228.810059,3770170112.0
249.32,6179078,6238.049805,3805400064.0
248.2,4925926,6741.75,4725799936.0
253.69,9053395,7321.040039,5961950208.0
251.7,6941041,7370.779785,6103410176.0
252.03,5893783,7466.859863,5111629824.0
250.89,5562161,7354.129883,4936869888.0
249.41,7539621,7711.109863,5132480000.0
248.71,8865545,8424.269531,7277689856.0
251.87,8004551,8181.390137,5845400064.0
254.84,8128128,7951.580078,4899089920.0
252.02,7385535,8165.009766,5195879936.0
244.13,8508539,8180.47998,5551400000.0
244.86,7099696,7780.439941,5287530000.0
246.47,7088889,7624.910156,4797620000.0
250.62,6741689,7567.149902,4214110000.0
252.1,5357202,7434.390137,4627150000.0
254.03,5187665,6951.799805,3925900000.0
256.95,6453260,6753.120117,4682800000.0
258.42,6552462,6305.799805,5064430000.0
256.46,5106962,6568.22998,4267040000.0
254.79,6415668,6184.709961,4528680000.0
256.12,9380158,6297.569824,4083980000.0
261.43,11655486,6199.709961,5301700000.0
259.08,14778394,6308.52002,4895450000.0
257.44,20031476,6334.72998,4328420000.0
244.82,28579694,6580.629883,4992990000.0
247.84,21359655,6308.529785,3665100000.0
253.32,16849710,6488.759766,3377180000.0
262.82,18746422,6376.709961,4668110000.0
266.84,18017114,6534.879883,3426180000.0
272.22,13287762,6719.959961,4097820000.0
275.9,12644437,6884.640137,4019000000.0
274.38,11884595,7096.279785,4659940000.0
278.49,10502741,7047.160156,4145880000.0
277.81,8665230,6978.22998,4463250000.0
280.68,7664750,7037.580078,4495650000.0
283.7,9793027,7361.660156,4273640000.0
278.42,9828919,6792.830078,5800460000.0
272.72,8069889,6529.169922,5523470000.0
271.86,7385468,6467.069824,4264680000.0
274.73,5503457,6329.700195,3714100000.0
272.8,6077818,6321.200195,3849910000.0
268.2,10477259,6351.799805,4064230000.0
271.34,7638387,6517.310059,4210910000.0
276.43,9673380,6512.709961,4076220000.0
273.93,5138189,6281.200195,3910780000.0
271.02,7488023,6371.299805,4180090000.0
271.98,5621465,6398.540039,4431340000.0
266.28,10764569,6519.669922,4348110000.0
263.45,10878157,6734.950195,6531940000.0
265.7,7347826,6595.410156,4177310000.0
268.41,7009746,6446.470215,4726180000.0
266.92,6713688,6495.0,4437300000.0
267.4,5360717,6676.75,4606810000.0
281.02,17734914,6644.129883,5014430000.0
289.36,15551453,6589.620117,4000970000.0
286.48,9599118,6556.100098,3979260000.0
286.73,8013769,6502.589844,3887310000.0
279.29,9780489,6576.689941,3838410000.0
269.86,10665861,6622.47998,3671500000.0
265.77,10215265,6652.22998,3979460000.0
265.54,6837493,6642.640137,3580810000.0
245.69,17123454,6585.529785,3787650000.0
235.13,18135929,6256.240234,5181640000.0
246.54,15205917,6274.580078,3783500000.0
235.38,11244032,6596.540039,7370770000.0
245.83,10217795,6596.109863,4074800000.0
243.06,8241701,6544.430176,4088420000.0
239.53,13100548,6476.709961,3924080000.0
229.17,15340249,6465.410156,3578870000.0
231.22,9221091,6487.160156,3672860000.0
221.06,15660945,6475.740234,3716150000.0
199.41,22107199,6495.839844,3424670000.0
207.84,23793040,6476.290039,3230550000.0
198.29,16619628,6474.75,3306050000.0
185.62,18950441,6332.629883,4199910000.0
203.0,20179768,6334.27002,3781100000.0
210.83,18644304,6317.609863,4191240000.0
218.11,14163208,6377.779785,3789400000.0
214.92,11324002,6388.439941,4234870000.0
211.77,9483260,6419.660156,4174800000.0
211.06,7475259,6461.009766,4700040000.0
213.79,12095301,6530.140137,4941260000.0
205.99,12783823,6453.720215,4665260000.0
205.67,10331049,6385.620117,4346820000.0
189.54,15427947,6371.27002,4295770000.0
199.31,16117775,6359.490234,4503800000.0
197.19,13164471,5738.350098,7398940000.0
202.39,21017716,5648.029785,7032140000.0
164.43,49087977,5575.549805,5279320000.0
144.7,42445505,4871.490234,7039560000.0
149.08,42300828,4451.870117,8428290000.0
144.71,25637350,4602.169922,6120120000.0
145.0,10299211,4347.109863,4871490000.0
153.05,20370806,3779.129883,6476900000.0
153.73,18451506,3820.719971,5998720000.0
160.07,20113137,4257.419922,7280280000.0
157.36,13729340,4278.84668,6503347767.0
163.43,18239114,4017.268555,6048016717.0
170.04,22270109,3894.130859,5089570994.0
157.11,20302787,3956.893799,5028069239.0
158.29,17307741,3521.101807,5878333109.0
147.61,17041949,3419.937256,6835615448.0
151.86,15736835,3502.656006,5020968740.0
148.19,16797832,3424.588135,4696765188.0
148.9,16353398,3486.950195,4139364829.0
148.89,11784624,3313.677246,4343372456.0
146.45,11795531,3242.484863,4372763663.0
143.58,16571683,3545.864746,5409247918.0
146.94,14109251,3696.059082,5911325473.0
138.51,18634147,3745.950684,6810689119.0
135.1,18739697,4134.441406,8927129279.0
129.57,21593525,3896.543701,7206015706.0
127.08,11595978,4078.599121,7240968501.0
133.1,17377484,3857.297607,5326547918.0
131.17,15926080,3654.833496,5130222366.0
133.65,15712319,3923.918701,5631554348.0
133.5,11628503,3742.700439,4661840806.0
136.22,12718840,3943.409424,5244856836.0
127.99,17638786,3836.741211,4530215219.0
136.19,14640483,3857.717529,4847965467.0
143.4,17728980,4025.248291,5228625637.0
139.83,19650429,4030.8479,5306593305.0
142.58,15431475,4035.296387,5115905225.0
145.23,13078906,3678.924561,6874143796.0
148.83,21869066,3687.365479,5538712865.0
150.44,18254249,3706.052246,5651384490.0
149.87,15425251,3630.675293,5537192302.0
148.84,11752592,3655.006836,5394457145.0
151.72,12335905,3678.563965,5464420383.0
156.93,16283423,3657.839355,5002961727.0
148.77,16538776,3604.577148,5313623556.0
149.29,14775545,3585.123047,5433755649.0
157.84,17724261,3600.865479,5262869046.0
160.15,28880547,3599.765869,5265847539.0
138.01,62788169,3470.450439,6908930483.0
131.6,28848347,3448.116943,5897159493.0
137.39,24355739,3486.181641,5955112627.0
143.75,21071338,3457.792725,5831198271.0
144.73,15626175,3487.945313,5422926707.0
149.18,13215018,3459.154053,5332718886.0
149.95,13560625,3466.357422,5227549545.0
153.0,17561647,3413.767822,5482196038.0
147.42,15928000,3399.47168,5004962683.0
148.17,11540137,3666.780273,7735623101.0
146.45,12379515,3648.430664,6277056434.0
151.17,14776513,3653.528564,6480384532.0
152.88,15134302,3632.070557,6438903823.0
154.53,20681574,3616.880859,6271044418.0
157.34,37918734,3620.810791,6091952231.0
156.64,13797316,3947.094482,9933626655.0
158.55,13524737,3999.820557,8693373948.0
155.77,11213668,3954.118164,7775128102.0
159.19,10043531,4005.526611,7826525254.0
158.69,16400481,3882.696289,9318796067.0
157.1,12211571,3854.35791,7931218996.0
155.41,12506381,3851.047363,8301309684.0
154.26,8123565,3854.7854,8399767798.0
156.45,8929678,3859.58374,7661247975.0
156.78,10249750,3761.557129,9029175788.0
156.52,9073119,3896.375,10174126415.0
152.05,10088149,3903.942627,9175291529.0
149.26,11252633,3911.484375,9584165519.0
150.64,10560371,3901.131592,10638638944.0
161.14,21493150,3905.227295,10125901903.0
162.52,14489368,3909.15625,9809887079.0
168.62,19222518,3906.717285,9469184841.0
165.56,12984630,3924.369141,10480789570.0
169.81,16536482,3960.911133,9394210605.0
168.95,12174829,4032.507324,9646954186.0
175.71,21374310,4071.190186,9344919956.0
174.4,17978715,4087.476318,10175916388.0
183.94,20607767,4029.326904,10831212662.0
177.5,18691087,4023.968262,9252935969.0
173.78,13130301,3963.070557,10359818883.0
176.87,17587678,3985.080811,10707678815.0
176.5,11859294,4087.066162,10897131934.0
177.25,12006602,4069.107178,9353915899.0
179.56,11422379,4098.374512,10918665557.0
182.28,12095612,4158.183105,10157794171.0
183.0,11022996,4879.87793,21315047816.0
188.62,19719468,4973.021973,22899891582.0
188.26,11434419,4922.798828,18251810240.0
190.95,12043649,5036.681152,16837325387.0
191.79,10604848,5289.770996,17154113634.0
189.26,10999320,5204.958496,14722104361.0
192.1,11119307,5324.551758,15504590933.0
191.54,9365037,5064.487793,16555616019.0
190.01,11792664,5089.539063,13675206312.0
184.7,11002345,5067.108398,12290155061.0
188.21,9874091,5235.55957,11618660197.0
187.29,8775068,5251.937988,12438480677.0
186.3,9524704,5298.385742,13256489918.0
188.47,6998388,5399.365234,14601631648.0
190.67,8671381,5572.362305,15867308108.0
191.17,7955120,5464.866699,17048033399.0
186.91,12482437,5210.515625,15330283408.0
178.09,21724729,5279.348145,16812108040.0
179.33,9797983,5247.352539,13735490672.0
181.0,9073040,5350.726563,13878964574.0
180.47,8857031,5402.697266,13679528236.0
183.19,9867135,5505.283691,14644460907.0
183.01,8420587,5768.289551,18720780006.0
179.85,10554445,5746.807129,15737171804.0
173.11,13880458,5829.501465,18026409033.0
173.92,10479154,5982.45752,15320605300.0
170.19,16506164,6174.528809,16784645411.0
168.82,14237451,6378.849121,19419875368.0
158.45,16422819,7814.915039,28677672181.0
162.04,13121972,7994.416016,32031452227.0
159.58,12558001,8205.167969,28344112920.0
160.19,19527204,7884.90918,33167197581.0
156.53,25551698,7343.895508,30066644905.0
151.75,14301634,7978.309082,23843404340.0
155.06,9046247,7963.327637,25127245056.0
152.2,8146740,7680.066406,24719473175.0
147.32,14796109,7881.84668,24457107820.0
145.15,8939632,7987.371582,25919126991.0
143.33,10708852,8719.961914,24226919267.0
140.34,13995037,8659.487305,23473479966.0
139.11,9857490,8319.472656,29246528551.0
135.46,9742992,8574.501953,25365190957.0
133.78,11966080,8208.995117,22004511436.0
143.0,16045885,7707.770996,24609731549.0
141.28,12790385,7824.231445,21760923463.0
143.78,10203462,7822.023438,19474611077.0
145.5,8721438,8043.951172,19141423231.0
148.43,10069522,8000.32959,18689275117.0
150.75,9596751,7927.714355,17107279932.0
146.2,8972298,8145.857422,19034432883.0
148.26,7702027,8230.923828,18669407147.0
144.64,9860656,8693.833008,19831162906.0
145.03,6901037,9320.352539,15562951919.0
152.88,14547950,9081.762695,15848210536.0
153.12,8291099,9273.521484,15546809946.0
154.1,8754182,9527.160156,17846823784.0
151.76,10860672,10144.556641,20624008643.0
152.66,7073718,11011.102539,19271652365.0
151.48,7796661,11790.916992,24879684533.0
159.26,14601825,13016.231445,45105733173.0
